LOCATION_TYPE|NOISE_LEVEL|NEIGHBOR_JUDGEMENT|CALLER_EXPECTATION|URGENCY|CLASS
LIBRARY|2|Vibrate|SHOULD_RECEIVE|URGENT|Vibrate
PARTY|7|Loud|MUST_RECEIVE|URGENT|Loud
CLASSROOM|4|Vibrate|MUST_RECEIVE|CASUAL|Vibrate
MEETING|5|Vibrate|MUST_RECEIVE|URGENT|Silent
CLASSROOM|4|Vibrate|SHOULD_RECEIVE|CASUAL|Vibrate
PARTY|10|Loud|SHOULD_RECEIVE|CASUAL|Loud
PARTY|8|Loud|SHOULD_RECEIVE|URGENT|Loud
MEETING|5|Vibrate|MUST_RECEIVE|CASUAL|Silent
PARTY|8|Loud|MUST_RECEIVE|URGENT|Loud
CLASSROOM|4|Vibrate|MUST_RECEIVE|URGENT|Vibrate
PARTY|8|Loud|MUST_RECEIVE|CASUAL|Loud
LAB|3|Vibrate|MUST_RECEIVE|CASUAL|Vibrate
LAB|3|Vibrate|SHOULD_RECEIVE|URGENT|Vibrate
PARTY|10|Loud|MUST_RECEIVE|URGENT|Loud
MEETING|5|Vibrate|SHOULD_RECEIVE|CASUAL|Silent
PARTY|7|Loud|MUST_RECEIVE|CASUAL|Vibrate
PARTY|10|Loud|SHOULD_RECEIVE|URGENT|Loud
PARTY|7|Loud|SHOULD_RECEIVE|CASUAL|Loud
PARTY|10|Loud|MUST_RECEIVE|CASUAL|Loud
MEETING|5|Vibrate|SHOULD_RECEIVE|URGENT|Silent
